#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,flight_id,status
,0,0,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T08:17:20Z,41,disembark,operation_data,IB1787,on-time
,1,1,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T12:47:20Z,30,cleaning,operation_data,IB1787,on-time
,2,2,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T12:18:20Z,25,fueling,operation_data,IB1787,on-time
,3,3,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T19:45:20Z,42,baggage,operation_data,IB1787,on-time
,4,4,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:05:20Z,18,catering,operation_data,IB1787,on-time
,5,5,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T16:35:20Z,39,boarding,operation_data,IB1787,delayed
,6,6,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:14:20Z,19,disembark,operation_data,IB4452,delayed
,7,7,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T10:47:20Z,33,cleaning,operation_data,IB4452,delayed
,8,8,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T01:34:20Z,32,fueling,operation_data,IB4452,on-time
,9,9,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T10:07:20Z,21,baggage,operation_data,IB4452,on-time
,10,10,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:53:20Z,19,catering,operation_data,IB4452,on-time
,11,11,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:31:20Z,22,boarding,operation_data,IB4452,on-time
,12,12,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:49:20Z,32,disembark,operation_data,IB7587,on-time
,13,13,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T03:14:20Z,40,cleaning,operation_data,IB7587,on-time
,14,14,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:09:20Z,13,fueling,operation_data,IB7587,on-time
,15,15,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:53:20Z,15,baggage,operation_data,IB7587,delayed
,16,16,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:02:20Z,10,catering,operation_data,IB7587,on-time
,17,17,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:29:20Z,33,boarding,operation_data,IB7587,delayed
,18,18,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T09:57:20Z,20,disembark,operation_data,IB4708,on-time
,19,19,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T20:42:20Z,28,cleaning,operation_data,IB4708,delayed
,20,20,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:10:20Z,42,fueling,operation_data,IB4708,on-time
,21,21,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T03:06:20Z,48,baggage,operation_data,IB4708,on-time
,22,22,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T15:52:20Z,42,catering,operation_data,IB4708,on-time
,23,23,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T13:46:20Z,10,boarding,operation_data,IB4708,on-time
,24,24,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T03:50:20Z,15,disembark,operation_data,IB2873,on-time
,25,25,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:24:20Z,8,cleaning,operation_data,IB2873,delayed
,26,26,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T18:58:20Z,6,fueling,operation_data,IB2873,on-time
,27,27,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T16:58:20Z,14,baggage,operation_data,IB2873,delayed
,28,28,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T17:52:20Z,7,catering,operation_data,IB2873,on-time
,29,29,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T14:23:20Z,23,boarding,operation_data,IB2873,delayed
,30,30,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T05:30:20Z,20,disembark,operation_data,IB8094,on-time
,31,31,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T16:06:20Z,23,cleaning,operation_data,IB8094,on-time
,32,32,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T04:12:20Z,6,fueling,operation_data,IB8094,delayed
,33,33,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T01:14:20Z,48,baggage,operation_data,IB8094,on-time
,34,34,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T08:02:20Z,40,catering,operation_data,IB8094,on-time
,35,35,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T04:12:20Z,33,boarding,operation_data,IB8094,on-time
,36,36,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T04:12:20Z,12,disembark,operation_data,IB8132,delayed
,37,37,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T22:58:20Z,28,cleaning,operation_data,IB8132,on-time
,38,38,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T14:45:20Z,11,fueling,operation_data,IB8132,on-time
,39,39,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T07:53:20Z,40,baggage,operation_data,IB8132,on-time
,40,40,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T21:14:20Z,5,catering,operation_data,IB8132,on-time
,41,41,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:07:20Z,25,boarding,operation_data,IB8132,on-time
,42,42,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T02:42:20Z,50,disembark,operation_data,IB5682,delayed
,43,43,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T13:31:20Z,40,cleaning,operation_data,IB5682,on-time
,44,44,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T06:44:20Z,30,fueling,operation_data,IB5682,on-time
,45,45,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-25T05:25:20Z,31,baggage,operation_data,IB5682,on-time
,46,46,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T23:35:20Z,30,catering,operation_data,IB5682,delayed
,47,47,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T19:50:20Z,43,boarding,operation_data,IB5682,delayed
,48,48,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T14:40:20Z,39,disembark,operation_data,IB8804,delayed
,49,49,2024-10-25T13:30:20Z,2024-11-24T13:30:20.591Z,2024-11-24T14:26:20Z,44,cleaning,operation_data,IB8804,on-time
