#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,attraction_id,status
,0,0,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T18:02:35Z,59,inspection,maintenance_data,AT927,completed
,1,1,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:22:35Z,83,repair,maintenance_data,AT927,pending
,2,2,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T07:46:35Z,87,cleaning,maintenance_data,AT927,completed
,3,3,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T17:16:35Z,25,safety_check,maintenance_data,AT927,pending
,4,4,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T10:47:35Z,52,software_update,maintenance_data,AT927,pending
,5,5,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T13:59:35Z,57,lubrication,maintenance_data,AT927,completed
,6,6,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:38:35Z,46,inspection,maintenance_data,AT587,pending
,7,7,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-26T00:05:35Z,61,repair,maintenance_data,AT587,completed
,8,8,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T20:51:35Z,49,cleaning,maintenance_data,AT587,pending
,9,9,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T02:40:35Z,47,safety_check,maintenance_data,AT587,completed
,10,10,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T01:18:35Z,25,software_update,maintenance_data,AT587,completed
,11,11,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T11:25:35Z,66,lubrication,maintenance_data,AT587,completed
,12,12,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T14:49:35Z,29,inspection,maintenance_data,AT344,pending
,13,13,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T17:10:35Z,47,repair,maintenance_data,AT344,completed
,14,14,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T22:42:35Z,20,cleaning,maintenance_data,AT344,pending
,15,15,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T07:25:35Z,29,safety_check,maintenance_data,AT344,completed
,16,16,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T17:53:35Z,29,software_update,maintenance_data,AT344,pending
,17,17,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T06:36:35Z,22,lubrication,maintenance_data,AT344,completed
,18,18,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T09:01:35Z,41,inspection,maintenance_data,AT812,completed
,19,19,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T02:59:35Z,24,repair,maintenance_data,AT812,pending
,20,20,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T06:20:35Z,63,cleaning,maintenance_data,AT812,pending
,21,21,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T21:37:35Z,79,safety_check,maintenance_data,AT812,completed
,22,22,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T15:40:35Z,19,software_update,maintenance_data,AT812,pending
,23,23,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T17:40:35Z,85,lubrication,maintenance_data,AT812,pending
,24,24,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T03:22:35Z,39,inspection,maintenance_data,AT491,completed
,25,25,2024-10-26T00:41:35Z,2024-11-25T00:41:35.064Z,2024-11-25T00:57:35Z,40,repair,maintenance_data,AT491,pending
